gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
WT1	TP53	0.4	13	6	0.831	0.3324	DIMETHYL SULFOXIDE|TRETINOIN|DEFEROXAMINE|CYTARABINE|SIROLIMUS|DAUNORUBICIN LIPOSOMAL	GALINPEPIMUT-S|INNO-305|OMBIPEPIMUT-S|RECOMBINANT ACTIVIN|HALOFUGINONE
NFATC1	TP53	0.48	4	4	0.625	0.3	CYCLOSPORINE|METHOTREXATE|PREDNISONE|MYCOPHENOLATE	MYCOPHENOLATE|PREDNISONE|CYCLOSPORINE|METHOTREXATE
PRKAB2	TP53	0.61	6	3	0.487	0.2971	OLANZAPINE|METFORMIN|CLOZAPINE	MT47-100|SAPONARIN|ACADESINE|METFORMIN|OLANZAPINE
HIPK2	TP53	0.71	18	2	0.413	0.2932	ENTRECTINIB|SORAFENIB	COMPOUND 5B [PMID: 24900464]|VADIMEZAN|COMPOUND 1A [PMID: 24900749]|PI-103|BAY 61-3606
ETS2	TP53	0.6	4	3	0.475	0.285	CARBOPLATIN|PACLITAXEL PROTEIN-BOUND|GEMCITABINE	TK216|CARBOPLATIN|GEMCITABINE|PACLITAXEL PROTEIN-BOUND
MAPK11	TP53	0.44	31	3	0.644	0.2834	PIRFENIDONE|REGORAFENIB|SORAFENIB	LOSMAPIMOD|TALMAPIMOD|CRYPTOLEPINE HYDROCHLORIDE|MILTIRONE|DIHYDROTANSHINONE I
BMX	TP53	0.4	15	4	0.694	0.2776	RITLECITINIB|ACALABRUTINIB|IBRUTINIB|RITLECITINIB TOSYLATE	CHEMBL:CHEMBL285063|BMX-IN-1|CANERTINIB|ZYBT1|BIIB091
S100A4	TP53	0.85	3	2	0.319	0.2712	DAUNORUBICIN HYDROCHLORIDE|DOXORUBICIN HYDROCHLORIDE	CHEMBL:CHEMBL585502|DAUNORUBICIN HYDROCHLORIDE|DOXORUBICIN HYDROCHLORIDE
TK1	TP53	0.55	6	3	0.487	0.2679	DOXECITINE|ZIDOVUDINE|PENCICLOVIR	VALNIVUDINE HYDROCHLORIDE|DOXECITINE|ARGININE BUTYRATE|PENCICLOVIR|RILAPLADIB
EP300	TP53	0.98	19	1	0.269	0.2636	EPIGALLOCATECHIN GALLATE	C646|GARCINOL|CHEMBL:CHEMBL404916|CHEMBL:CHEMBL257748|CHEMBL:CHEMBL1797707
UBE2I	TP53	0.74	2	2	0.313	0.2316	CISPLATIN|IRINOTECAN HYDROCHLORIDE	IRINOTECAN HYDROCHLORIDE|CISPLATIN
GATA2	TP53	0.48	4	3	0.475	0.228	AZACITIDINE|BORTEZOMIB|EPOETIN ALFA	EPOETIN ALFA|FASUDIL|AZACITIDINE|BORTEZOMIB
BCL2L1	TP53	0.88	14	1	0.238	0.2094	VENETOCLAX	APOGOSSYPOL|ABT-737|SANGIVAMYCIN|FOSELUTOCLAX|A-1331852
BCL6	TP53	0.4	11	3	0.519	0.2076	BRENTUXIMAB VEDOTIN|POLATUZUMAB VEDOTIN|FENRETINIDE	COMPOUND 8C [PMID: 28760529]|BMS-986458|BCL6 PROTAC A19|BCL6 PROTAC 15|JNJ-65234637
XPO1	TP53	0.59	8	2	0.35	0.2065	SELINEXOR|RIFAMPIN	LEPTOMYCIN B|VERDINEXOR|SELINEXOR|FELEZONEXOR|GONIOTHALAMIN
PCNA	CDKN2A	0.61	5	2	0.331	0.2019	CAPSAICIN|PENTOXIFYLLINE	SUNSCREEN|VIT-100|ATX-101|CAPSAICIN|PENTOXIFYLLINE
YWHAG	TP53	0.64	2	2	0.313	0.2003	DOXORUBICIN HYDROCHLORIDE|DAUNORUBICIN HYDROCHLORIDE	DAUNORUBICIN HYDROCHLORIDE|DOXORUBICIN HYDROCHLORIDE
CSNK2A1	TP53	0.67	23	1	0.294	0.197	BELUMOSUDIL	KDX1381|SILMITASERTIB|COMPOUND 2C [PMID: 22115617]|COMPOUND 1A [PMID: 24900749]|BELUMOSUDIL
SLC4A1	CDKN2A	0.6	2	2	0.313	0.1878	METOPROLOL|ATENOLOL	METOPROLOL|ATENOLOL
GNL3	TP53	0.4	3	3	0.469	0.1876	EPIRUBICIN|CYCLOPHOSPHAMIDE ANHYDROUS|FLUOROURACIL	EPIRUBICIN|CYCLOPHOSPHAMIDE ANHYDROUS|FLUOROURACIL
PSME3	TP53	0.58	2	2	0.313	0.1815	CARFILZOMIB|BORTEZOMIB	CARFILZOMIB|BORTEZOMIB
PMP22	TP53	0.56	2	2	0.313	0.1753	KETOPROFEN|PROGESTERONE	KETOPROFEN|PROGESTERONE
MT1A	TP53	0.54	2	2	0.313	0.169	OXALIPLATIN|ARSENIC TRIOXIDE	ARSENIC TRIOXIDE|OXALIPLATIN
CCT3	TP53	0.53	2	2	0.313	0.1659	RANIBIZUMAB|BEVACIZUMAB	RANIBIZUMAB|BEVACIZUMAB
HSPA5	TP53	0.4	17	2	0.406	0.1624	FLUOROURACIL|NORGESTREL	CEREBRAL DOPAMINE NEUROTROPHIC FACTOR|IT-139|STROBOPININ|RUTHENIUM-BASED TRANSFERRIN TARGETING AGENT NKP-1339|CHEMBL:CHEMBL524376
KDM1A	TP53	0.66	15	1	0.244	0.161	TRANYLCYPROMINE	CHEMBL:CHEMBL2182009|NAMOLINE|OG-L002|RN-1|NCL-1
ARRB1	TP53	0.5	3	2	0.319	0.1595	ALBIGLUTIDE|DULAGLUTIDE	ALBIGLUTIDE|DULAGLUTIDE|EBSELEN
TBP	TP53	0.44	3	2	0.319	0.1404	TRETINOIN|ETOPOSIDE	THERAPEUTIC HORMONE|ETOPOSIDE|TRETINOIN
